,acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
86,0.853,['Alan Jackson'],0.348,212827.0,3.5471166666666667,0.204,0.0,1mGQuFssuBEYYo2ZydhTeT,1.5e-06,8.0,0.139,-10.576,1.0,How Great Thou Art,46.0,2006,0.0292,174.519,0.174,2006.0
87,0.0135,['Red Hot Chili Peppers'],0.524,270467.0,4.507783333333333,0.945,0.0,2Y5ngAobMcspRywfmb77k5,0.0033200000000000005,11.0,0.108,-2.467,0.0,Readymade,51.0,2006-05-09,0.0797,149.819,0.8,2006.0
88,0.8320000000000001,['Jack Johnson'],0.674,137547.0,2.29245,0.314,0.0,1Q8jaRiMuU3gaWyQP8fBfX,0.0,2.0,0.163,-12.319,1.0,We're Going To Be Friends,44.0,2006,0.0363,105.289,0.743,2006.0
89,0.000669,['Arctic Monkeys'],0.599,173667.0,2.89445,0.946,0.0,28J7s6ylqLYzBUTBSUyEjm,0.0,8.0,0.0973,-4.192,1.0,Still Take You Home,44.0,2006-02-21,0.0378,108.934,0.653,2006.0
90,5.5e-05,['The Killers'],0.261,265800.0,4.430000000000001,0.905,0.0,62XRqyhZP1vYNoD7WMTtiW,0.262,10.0,0.396,-3.483,0.0,Uncle Jonny,51.0,2006-10-02,0.039,173.782,0.379,2006.0
91,0.466,['Brad Paisley'],0.728,248960.0,4.149333333333334,0.464,0.0,6P7PgRkTCUAt2n4Lzv5pLN,9.66e-05,4.0,0.153,-10.34,1.0,Behind the Clouds,47.0,2006-01-01,0.0275,126.807,0.6459999999999999,2006.0
92,0.374,['Valentín Elizalde'],0.789,170440.0,2.8406666666666665,0.5379999999999999,0.0,21dO2n3oshsn3FkbB6Y5Mm,1.51e-05,10.0,0.34,-4.997,1.0,Lobo Domesticado,55.0,2006-01-01,0.0445,116.034,0.923,2006.0
93,0.000187,['Godsmack'],0.374,259507.0,4.325116666666667,0.959,0.0,72pFw0zZA2qmHwasb6Dt1x,0.00206,7.0,0.081,-4.695,1.0,Straight Out Of Line,46.0,2007-01-01,0.14,183.659,0.375,2007.0
94,0.0067,['Gorillaz'],0.925,208200.0,3.4699999999999998,0.588,0.0,3EdTCvjlwK141nxrjPXeTt,0.302,2.0,0.114,-10.028,1.0,People,51.0,2007-11-19,0.0579,120.017,0.965,2007.0
95,0.0369,['Keith Urban'],0.655,239400.0,3.99,0.747,0.0,06ySRvEnrUxZZ9ml3VO2TY,1.29e-06,4.0,0.0449,-4.41,1.0,You're My Better Half,47.0,2007-01-01,0.0333,118.054,0.613,2007.0
96,0.00091,['Avenged Sevenfold'],0.504,252640.0,4.210666666666667,0.961,0.0,3H2VmsXSSxjIv1UUPEQ30d,3.04e-05,7.0,0.417,-4.697,1.0,Brompton Cocktail,50.0,2007-10-26,0.0799,150.01,0.36,2007.0
97,2.03e-05,['Godsmack'],0.487,177933.0,2.96555,0.7659999999999999,0.0,1B9KhZZDtgudejvc2SQkZv,3.26e-05,1.0,0.225,-5.914,1.0,"Good Times, Bad Times",46.0,2007-01-01,0.0647,95.641,0.614,2007.0
98,0.146,['Avril Lavigne'],0.389,232200.0,3.8699999999999997,0.71,0.0,5OuP08bgU2H7ZeDQQFQ6q8,0.0,1.0,0.202,-3.664,0.0,Innocence,58.0,2007-04-17,0.0343,137.752,0.34,2007.0
99,0.000193,['Fall Out Boy'],0.407,186027.0,3.10045,0.969,0.0,0EwfAdBab8DRcDCC1RKhMY,0.000113,5.0,0.19,-2.908,0.0,Fame < Infamy,48.0,2007-01-01,0.0856,168.891,0.647,2007.0
100,0.131,['Keith Urban'],0.6659999999999999,224107.0,3.735116666666667,0.7,0.0,5jDnI5jmAqpvKwmpXP7VSj,0.0,0.0,0.254,-6.0829999999999975,1.0,But For The Grace Of God,47.0,2007-01-01,0.0267,104.021,0.644,2007.0
101,0.835,['Fall Out Boy'],0.35,152400.0,2.54,0.411,0.0,6OvgbhJ6Cf8QwuTtvwZYCH,0.0017,8.0,0.118,-7.403,1.0,Golden,49.0,2007-01-01,0.0275,179.68,0.163,2007.0
102,0.00209,['Avenged Sevenfold'],0.429,311867.0,5.197783333333334,0.949,0.0,63KJgtNcHRii4aHvUlmtSx,1.68e-06,2.0,0.187,-5.447,0.0,Unbound (The Wild Ride),50.0,2007-10-26,0.0877,139.94899999999998,0.402,2007.0
103,0.0104,['The Killers'],0.38,256547.0,4.275783333333334,0.89,0.0,1vFxgDgIM0hVxWUiKws1GV,0.000369,5.0,0.147,-3.491,0.0,Glamorous Indie Rock And Roll,46.0,2007-01-01,0.0438,76.594,0.5539999999999999,2007.0
